"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2443439","0.5475113","0.21794871794871795","2.6153846153846154","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","3.0","0.1268499","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05454545","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","2.0","0"
"11","0.2443439","0.5475113","0.21794871794871795","2.6153846153846154","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","3.0","0.1268116","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05303030","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","2.0","0"
"12","0.2443439","0.5475113","0.21794871794871795","2.6153846153846154","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","3.0","0.1255887","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05128205","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","2.0","0"
"13","0.2443439","0.5475113","0.21794871794871795","2.6153846153846154","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","3.0","0.1236264","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04945055","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","2.0","0"
"14","0.2443439","0.5475113","0.21794871794871795","2.6153846153846154","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","3.0","0.1212121","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04761905","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","2.0","0"
"15","0.2443439","0.5475113","0.21794871794871795","2.6153846153846154","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","3.0","0.1185345","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04583333","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","2.0","0"
"16","0.2443439","0.5475113","0.21794871794871795","2.6153846153846154","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","3.0","0.1157184","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04411765","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","2.0","0"
"17","0.2443439","0.5475113","0.21794871794871795","2.6153846153846154","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","3.0","0.1128472","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04248366","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","2.0","0"
"18","0.2443439","0.5475113","0.21794871794871795","2.6153846153846154","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","3.0","0.1099764","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04093567","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","2.0","0"
"19","0.2443439","0.5475113","0.21794871794871795","2.6153846153846154","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","3.0","0.1071429","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.03947368","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","2.0","0"
"20","0.2443439","0.5475113","0.21794871794871795","2.6153846153846154","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","3.0","0.1043705","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.03809524","6.0","0","6.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","2.0","0"
