"release","SIY","SCF","ADCS"
"0","","0.21978021978021978","2.857142857142857"
"1","","0.21978021978021978","2.857142857142857"
"2","","0.21978021978021978","2.857142857142857"
"3","","0.21978021978021978","2.857142857142857"
"4","","0.2","2.8"
"5","","0.2","2.8"
"6","","0.2","2.8"
"7","","0.2","2.8"
"8","","0.2","2.8"
"9","","0.2","2.8"
"10","","0.2","2.8"
"11","","0.2","2.8"
"12","","0.2","2.8"
"13","","0.2","2.8"
"14","","0.2","2.8"
"15","","0.2","2.8"
"16","","0.2","2.8"
"17","","0.2","2.8"
"18","","0.2","2.8"
"19","","0.2","2.8"
"20","","0.2","2.8"
