"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS"
"11","9.0","3.0","27.0","0.47368421052631576","0.15789473684210525","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","3.0","6.0","0.10526315789473684","0.15789473684210525","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","10.0","1.0","10.0","0.5263157894736842","0.05263157894736842","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","0.0","8.0","0.0","0.0","0.42105263157894735","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","9.0","3.0","27.0","0.47368421052631576","0.15789473684210525","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","3.0","6.0","0.10526315789473684","0.15789473684210525","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","10.0","1.0","10.0","0.5263157894736842","0.05263157894736842","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","0.0","8.0","0.0","0.0","0.42105263157894735","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","9.0","4.0","36.0","0.45","0.2","3.0","2.0","6.0","0.15","0.1","2.0","3.0","6.0","0.1","0.15","1.0","2.0","2.0","0.05","0.1","3.0","1.0","3.0","0.15","0.05","1.0","2.0","2.0","0.05","0.1","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","1.0","2.0","2.0","0.05","0.1","2.0","1.0","2.0","0.1","0.05","2.0","2.0","4.0","0.1","0.1","11.0","1.0","11.0","0.55","0.05","1.0","17.0","17.0","0.05","0.85","0.0","8.0","0.0","0.0","0.4","2.0","1.0","2.0","0.1","0.05","1.0","1.0","1.0","0.05","0.05","3.0","1.0","3.0","0.15","0.05","2.0","1.0","2.0","0.1","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","9.0","4.0","36.0","0.45","0.2","3.0","2.0","6.0","0.15","0.1","2.0","3.0","6.0","0.1","0.15","1.0","2.0","2.0","0.05","0.1","3.0","1.0","3.0","0.15","0.05","1.0","2.0","2.0","0.05","0.1","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","1.0","2.0","2.0","0.05","0.1","2.0","1.0","2.0","0.1","0.05","2.0","2.0","4.0","0.1","0.1","11.0","1.0","11.0","0.55","0.05","1.0","17.0","17.0","0.05","0.85","0.0","8.0","0.0","0.0","0.4","2.0","1.0","2.0","0.1","0.05","1.0","1.0","1.0","0.05","0.05","3.0","1.0","3.0","0.15","0.05","2.0","1.0","2.0","0.1","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","9.0","4.0","36.0","0.45","0.2","3.0","2.0","6.0","0.15","0.1","2.0","3.0","6.0","0.1","0.15","1.0","2.0","2.0","0.05","0.1","3.0","1.0","3.0","0.15","0.05","1.0","2.0","2.0","0.05","0.1","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","1.0","2.0","2.0","0.05","0.1","2.0","1.0","2.0","0.1","0.05","2.0","2.0","4.0","0.1","0.1","11.0","1.0","11.0","0.55","0.05","1.0","17.0","17.0","0.05","0.85","0.0","8.0","0.0","0.0","0.4","2.0","1.0","2.0","0.1","0.05","1.0","1.0","1.0","0.05","0.05","3.0","1.0","3.0","0.15","0.05","2.0","1.0","2.0","0.1","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","9.0","4.0","36.0","0.45","0.2","3.0","2.0","6.0","0.15","0.1","2.0","3.0","6.0","0.1","0.15","1.0","2.0","2.0","0.05","0.1","3.0","1.0","3.0","0.15","0.05","1.0","2.0","2.0","0.05","0.1","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","1.0","2.0","2.0","0.05","0.1","2.0","1.0","2.0","0.1","0.05","2.0","2.0","4.0","0.1","0.1","11.0","1.0","11.0","0.55","0.05","1.0","17.0","17.0","0.05","0.85","0.0","8.0","0.0","0.0","0.4","2.0","1.0","2.0","0.1","0.05","1.0","1.0","1.0","0.05","0.05","3.0","1.0","3.0","0.15","0.05","2.0","1.0","2.0","0.1","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","9.0","4.0","36.0","0.45","0.2","3.0","2.0","6.0","0.15","0.1","2.0","3.0","6.0","0.1","0.15","1.0","2.0","2.0","0.05","0.1","3.0","1.0","3.0","0.15","0.05","1.0","2.0","2.0","0.05","0.1","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","1.0","2.0","2.0","0.05","0.1","2.0","1.0","2.0","0.1","0.05","2.0","2.0","4.0","0.1","0.1","11.0","1.0","11.0","0.55","0.05","1.0","17.0","17.0","0.05","0.85","0.0","8.0","0.0","0.0","0.4","2.0","1.0","2.0","0.1","0.05","1.0","1.0","1.0","0.05","0.05","3.0","1.0","3.0","0.15","0.05","2.0","1.0","2.0","0.1","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","9.0","4.0","36.0","0.4090909090909091","0.18181818181818182","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","2.0","3.0","6.0","0.09090909090909091","0.13636363636363635","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","12.0","2.0","24.0","0.5454545454545454","0.09090909090909091","1.0","19.0","19.0","0.045454545454545456","0.8636363636363636","0.0","9.0","0.0","0.0","0.4090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","9.0","4.0","36.0","0.4090909090909091","0.18181818181818182","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","2.0","3.0","6.0","0.09090909090909091","0.13636363636363635","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","12.0","2.0","24.0","0.5454545454545454","0.09090909090909091","1.0","19.0","19.0","0.045454545454545456","0.8636363636363636","0.0","9.0","0.0","0.0","0.4090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","9.0","4.0","36.0","0.4090909090909091","0.18181818181818182","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","2.0","3.0","6.0","0.09090909090909091","0.13636363636363635","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","12.0","2.0","24.0","0.5454545454545454","0.09090909090909091","1.0","19.0","19.0","0.045454545454545456","0.8636363636363636","0.0","9.0","0.0","0.0","0.4090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
