"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","BA16-ADS","BA16-AIS","BA16-ACS","BA16-RCS","BA16-RIS","BA17-ADS","BA17-AIS","BA17-ACS","BA17-RCS","BA17-RIS","BA18-ADS","BA18-AIS","BA18-ACS","BA18-RCS","BA18-RIS","BA19-ADS","BA19-AIS","BA19-ACS","BA19-RCS","BA19-RIS","BA20-ADS","BA20-AIS","BA20-ACS","BA20-RCS","BA20-RIS","BA21-ADS","BA21-AIS","BA21-ACS","BA21-RCS","BA21-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS"
"1","9.0","8.0","72.0","0.36","0.32","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","3.0","5.0","15.0","0.12","0.2","2.0","2.0","4.0","0.08","0.08","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","2.0","2.0","4.0","0.08","0.08","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","2.0","2.0","4.0","0.08","0.08","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","1.0","1.0","1.0","0.04","0.04","6.0","1.0","6.0","0.24","0.04","14.0","0.0","0.0","0.56","0.0","0.0","22.0","0.0","0.0","0.88","1.0","23.0","23.0","0.04","0.92"
"2","9.0","8.0","72.0","0.36","0.32","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","3.0","5.0","15.0","0.12","0.2","2.0","2.0","4.0","0.08","0.08","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","2.0","2.0","4.0","0.08","0.08","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","2.0","2.0","4.0","0.08","0.08","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","1.0","1.0","1.0","0.04","0.04","6.0","1.0","6.0","0.24","0.04","14.0","0.0","0.0","0.56","0.0","0.0","22.0","0.0","0.0","0.88","1.0","23.0","23.0","0.04","0.92"
"3","9.0","8.0","72.0","0.36","0.32","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","3.0","5.0","15.0","0.12","0.2","2.0","2.0","4.0","0.08","0.08","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","2.0","2.0","4.0","0.08","0.08","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","2.0","2.0","4.0","0.08","0.08","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","1.0","1.0","1.0","0.04","0.04","6.0","1.0","6.0","0.24","0.04","14.0","0.0","0.0","0.56","0.0","0.0","22.0","0.0","0.0","0.88","1.0","23.0","23.0","0.04","0.92"
"4","7.0","7.0","49.0","0.2916666666666667","0.2916666666666667","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","5.0","15.0","0.125","0.20833333333333334","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","6.0","1.0","6.0","0.25","0.041666666666666664","14.0","0.0","0.0","0.5833333333333334","0.0","0.0","21.0","0.0","0.0","0.875","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666"
"5","7.0","7.0","49.0","0.2916666666666667","0.2916666666666667","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","5.0","15.0","0.125","0.20833333333333334","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","6.0","1.0","6.0","0.25","0.041666666666666664","14.0","0.0","0.0","0.5833333333333334","0.0","0.0","21.0","0.0","0.0","0.875","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666"
"6","5.0","7.0","35.0","0.20833333333333334","0.2916666666666667","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","4.0","12.0","0.125","0.16666666666666666","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","6.0","1.0","6.0","0.25","0.041666666666666664","14.0","0.0","0.0","0.5833333333333334","0.0","0.0","21.0","0.0","0.0","0.875","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666"
"7","5.0","7.0","35.0","0.20833333333333334","0.2916666666666667","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","4.0","12.0","0.125","0.16666666666666666","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","6.0","1.0","6.0","0.25","0.041666666666666664","14.0","0.0","0.0","0.5833333333333334","0.0","0.0","21.0","0.0","0.0","0.875","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666"
"8","5.0","7.0","35.0","0.20833333333333334","0.2916666666666667","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","4.0","12.0","0.125","0.16666666666666666","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","6.0","1.0","6.0","0.25","0.041666666666666664","14.0","0.0","0.0","0.5833333333333334","0.0","0.0","21.0","0.0","0.0","0.875","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666"
"9","5.0","7.0","35.0","0.20833333333333334","0.2916666666666667","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","4.0","12.0","0.125","0.16666666666666666","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","6.0","1.0","6.0","0.25","0.041666666666666664","14.0","0.0","0.0","0.5833333333333334","0.0","0.0","21.0","0.0","0.0","0.875","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666"
"10","3.0","7.0","21.0","0.125","0.2916666666666667","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","4.0","12.0","0.125","0.16666666666666666","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","6.0","1.0","6.0","0.25","0.041666666666666664","14.0","0.0","0.0","0.5833333333333334","0.0","0.0","21.0","0.0","0.0","0.875","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666"
