"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS"
"11","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","6.0","0.0","0.0","0.5454545454545454","0.0","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","2.0","5.0","10.0","0.18181818181818182","0.45454545454545453","0.0","3.0","0.0","0.0","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","1.0","3.0","3.0","0.08333333333333333","0.25","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","7.0","0.0","0.0","0.5833333333333334","0.0","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","2.0","5.0","10.0","0.16666666666666666","0.4166666666666667","0.0","3.0","0.0","0.0","0.25","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","1.0","3.0","3.0","0.08333333333333333","0.25","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","7.0","0.0","0.0","0.5833333333333334","0.0","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","2.0","5.0","10.0","0.16666666666666666","0.4166666666666667","0.0","3.0","0.0","0.0","0.25","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","1.0","3.0","3.0","0.08333333333333333","0.25","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","7.0","0.0","0.0","0.5833333333333334","0.0","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","2.0","5.0","10.0","0.16666666666666666","0.4166666666666667","0.0","3.0","0.0","0.0","0.25","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","1.0","3.0","3.0","0.08333333333333333","0.25","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","7.0","0.0","0.0","0.5833333333333334","0.0","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","2.0","5.0","10.0","0.16666666666666666","0.4166666666666667","0.0","3.0","0.0","0.0","0.25","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","1.0","3.0","3.0","0.08333333333333333","0.25","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","7.0","0.0","0.0","0.5833333333333334","0.0","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","2.0","5.0","10.0","0.16666666666666666","0.4166666666666667","0.0","3.0","0.0","0.0","0.25","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","1.0","3.0","3.0","0.08333333333333333","0.25","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","7.0","0.0","0.0","0.5833333333333334","0.0","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","2.0","5.0","10.0","0.16666666666666666","0.4166666666666667","0.0","3.0","0.0","0.0","0.25","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","1.0","3.0","3.0","0.08333333333333333","0.25","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","7.0","0.0","0.0","0.5833333333333334","0.0","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","2.0","5.0","10.0","0.16666666666666666","0.4166666666666667","0.0","3.0","0.0","0.0","0.25","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","1.0","3.0","3.0","0.08333333333333333","0.25","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","7.0","0.0","0.0","0.5833333333333334","0.0","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","2.0","5.0","10.0","0.16666666666666666","0.4166666666666667","0.0","3.0","0.0","0.0","0.25","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","5.0","1.0","5.0","0.38461538461538464","0.07692307692307693","1.0","3.0","3.0","0.07692307692307693","0.23076923076923078","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","2.0","3.0","6.0","0.15384615384615385","0.23076923076923078","8.0","0.0","0.0","0.6153846153846154","0.0","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","2.0","5.0","10.0","0.15384615384615385","0.38461538461538464","0.0","3.0","0.0","0.0","0.23076923076923078","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","0.0","0.0","0.0","0.0","0.0"
"21","5.0","1.0","5.0","0.35714285714285715","0.07142857142857142","1.0","3.0","3.0","0.07142857142857142","0.21428571428571427","1.0","2.0","2.0","0.07142857142857142","0.14285714285714285","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","2.0","3.0","6.0","0.14285714285714285","0.21428571428571427","9.0","0.0","0.0","0.6428571428571429","0.0","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","0.0","4.0","0.0","0.0","0.2857142857142857","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142"
