"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.25","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1604278","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02932551","1.0","0","4.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"11","0.25","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1666667","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02941176","1.0","0","4.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"12","0.25","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1700405","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02910603","1.0","0","4.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"13","0.25","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1714286","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02857143","1.0","0","4.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"14","0.25","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1714286","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02790698","1.0","0","4.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"15","0.25","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1704545","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02717391","1.0","0","4.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"16","0.25","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1687980","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02641056","1.0","0","4.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"17","0.25","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1666667","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02564103","1.0","0","4.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"18","0.25","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1642105","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02488038","1.0","0","4.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"19","0.25","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1615385","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02413793","1.0","0","4.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"20","0.25","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1587302","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02341920","1.0","0","4.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
