"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2260766","0.6686603","0.1645021645021645","3.4545454545454546","3.0","0","12.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","19.0","0","1.0","0","9.0","0","1.0","0","20.0","0","0.0","","0.0"
"1","0.2260766","0.6686603","0.1645021645021645","3.4545454545454546","3.0","0","12.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","19.0","0","1.0","0","9.0","0","1.0","0","20.0","0","0.0","","0.0"
"2","0.2260766","0.6686603","0.1645021645021645","3.4545454545454546","3.0","0","12.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","19.0","0","1.0","0","9.0","0","1.0","0","20.0","0","0.0","","0.0"
"3","0.2260766","0.6686603","0.1645021645021645","3.4545454545454546","3.0","0","12.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","19.0","0","1.0","0","9.0","0","1.0","0","20.0","0","0.0","","0.0"
"4","0.2318841","0.6610925","0.1541501976284585","3.391304347826087","3.0","0","6.0","0.08888889","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","20.0","0.008333333","1.0","0","9.0","0","1.0","0","21.0","0.007920792","2.0","0","6.0","0"
"5","0.2318841","0.6610925","0.1541501976284585","3.391304347826087","3.0","0","6.0","0.1333333","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","20.0","0.01149425","1.0","0","9.0","0","1.0","0","21.0","0.01092896","2.0","0","6.0","0"
"6","0.2318841","0.6610925","0.1541501976284585","3.391304347826087","3.0","0","6.0","0.1558442","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","20.0","0.01260504","1.0","0","9.0","0","1.0","0","21.0","0.01198801","2.0","0","6.0","0"
"7","0.2318841","0.6610925","0.1541501976284585","3.391304347826087","3.0","0","6.0","0.1666667","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","20.0","0.01282051","1.0","0","9.0","0","1.0","0","21.0","0.01219512","2.0","0","6.0","0"
"8","0.2318841","0.6610925","0.1541501976284585","3.391304347826087","3.0","0","6.0","0.1709402","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","20.0","0.01262626","1.0","0","9.0","0","1.0","0","21.0","0.01201201","2.0","0","6.0","0"
"9","0.2318841","0.6610925","0.1541501976284585","3.391304347826087","3.0","0","6.0","0.1714286","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","20.0","0.01224490","1.0","0","9.0","0","1.0","0","21.0","0.01165049","2.0","0","6.0","0"
