"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"10","0.2488294","0.7505017","0.12845849802371542","2.8260869565217392","2.0","0.08727273","6.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","7.0","0","2.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","11.0","0","4.0","0","9.0","0.02139037","1.0","0","9.0","0","1.0","0","20.0","0"
"11","0.2488294","0.7505017","0.12845849802371542","2.8260869565217392","2.0","0.08333333","6.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","7.0","0","2.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","11.0","0","4.0","0","9.0","0.02027027","1.0","0","9.0","0","1.0","0","20.0","0"
"12","0.2488294","0.7505017","0.12845849802371542","2.8260869565217392","2.0","0.07957560","6.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","7.0","0","2.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","11.0","0","4.0","0","9.0","0.01923077","1.0","0","9.0","0","1.0","0","20.0","0"
"13","0.2488294","0.7505017","0.12845849802371542","2.8260869565217392","2.0","0.07603687","6.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","7.0","0","2.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","11.0","0","4.0","0","9.0","0.01827243","1.0","0","9.0","0","1.0","0","20.0","0"
"14","0.2488294","0.7505017","0.12845849802371542","2.8260869565217392","2.0","0.07272727","6.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","7.0","0","2.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","11.0","0","4.0","0","9.0","0.01739130","1.0","0","9.0","0","1.0","0","20.0","0"
"15","0.2488294","0.7505017","0.12845849802371542","2.8260869565217392","2.0","0.06964286","6.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","7.0","0","2.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","11.0","0","4.0","0","9.0","0.01658163","1.0","0","9.0","0","1.0","0","20.0","0"
"16","0.2488294","0.7505017","0.12845849802371542","2.8260869565217392","2.0","0.06677266","6.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","7.0","0","2.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","11.0","0","4.0","0","9.0","0.01583710","1.0","0","9.0","0","1.0","0","20.0","0"
"17","0.2488294","0.7505017","0.12845849802371542","2.8260869565217392","2.0","0.06410256","6.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","7.0","0","2.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","11.0","0","4.0","0","9.0","0.01515152","1.0","0","9.0","0","1.0","0","20.0","0"
"18","0.2488294","0.7505017","0.12845849802371542","2.8260869565217392","2.0","0.06161746","6.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","7.0","0","2.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","11.0","0","4.0","0","9.0","0.01451906","1.0","0","9.0","0","1.0","0","20.0","0"
"19","0.2488294","0.7505017","0.12845849802371542","2.8260869565217392","2.0","0.05930233","6.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","7.0","0","2.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","11.0","0","4.0","0","9.0","0.01393443","1.0","0","9.0","0","1.0","0","20.0","0"
"20","0.2488294","0.7505017","0.12845849802371542","2.8260869565217392","2.0","0.05714286","6.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","7.0","0","2.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","11.0","0","4.0","0","9.0","0.01339286","1.0","0","9.0","0","1.0","0","20.0","0"
