"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3833333","0.5033333","0.1893939393939394","2.0833333333333335","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","4.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","6.0","0","7.0","0","0.0","0","5.0","0","0.0","","0.0"
"1","0.3833333","0.5033333","0.1893939393939394","2.0833333333333335","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","4.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","6.0","0","7.0","0","0.0","0","5.0","0","0.0","","0.0"
"2","0.3833333","0.5033333","0.1893939393939394","2.0833333333333335","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","4.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","6.0","0","7.0","0","0.0","0","5.0","0","0.0","","0.0"
"3","0.3833333","0.5033333","0.1893939393939394","2.0833333333333335","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","4.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","6.0","0","7.0","0","0.0","0","5.0","0","0.0","","0.0"
"4","0.3833333","0.5033333","0.1893939393939394","2.0833333333333335","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","4.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","6.0","0","7.0","0","0.0","0","5.0","0","0.0","","0.0"
"5","0.3833333","0.5033333","0.1893939393939394","2.0833333333333335","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","4.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","6.0","0","7.0","0","0.0","0","5.0","0","0.0","","0.0"
"6","0.3846154","0.4792899","0.16666666666666666","2.0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","2.0","0.06593407","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","3.0","0.05714286","6.0","0","7.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"7","0.3846154","0.4792899","0.16666666666666666","2.0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","2.0","0.1071429","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","3.0","0.08333333","6.0","0","7.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"8","0.3846154","0.4792899","0.16666666666666666","2.0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","2.0","0.1333333","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","3.0","0.09523810","6.0","0","7.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"9","0.3846154","0.4792899","0.16666666666666666","2.0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","2.0","0.15","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","3.0","0.1","6.0","0","7.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
