"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS","MSV10-ADS","MSV10-AIS","MSV10-ACS","MSV10-RCS","MSV10-RIS","MSV11-ADS","MSV11-AIS","MSV11-ACS","MSV11-RCS","MSV11-RIS"
"11","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","3.0","9.0","0.17647058823529413","0.17647058823529413","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","3.0","9.0","0.17647058823529413","0.17647058823529413","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","7.0","1.0","7.0","0.4117647058823529","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","6.0","0.0","0.0","0.35294117647058826","0.0","1.0","11.0","11.0","0.058823529411764705","0.6470588235294118","3.0","3.0","9.0","0.17647058823529413","0.17647058823529413","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","1.0","13.0","13.0","0.058823529411764705","0.7647058823529411","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","3.0","9.0","0.15789473684210525","0.15789473684210525","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","3.0","9.0","0.15789473684210525","0.15789473684210525","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","9.0","1.0","9.0","0.47368421052631576","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","6.0","0.0","0.0","0.3157894736842105","0.0","1.0","13.0","13.0","0.05263157894736842","0.6842105263157895","3.0","3.0","9.0","0.15789473684210525","0.15789473684210525","1.0","8.0","8.0","0.05263157894736842","0.42105263157894735","1.0","14.0","14.0","0.05263157894736842","0.7368421052631579","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","3.0","1.0","3.0","0.15","0.05","3.0","3.0","9.0","0.15","0.15","2.0","1.0","2.0","0.1","0.05","3.0","3.0","9.0","0.15","0.15","3.0","1.0","3.0","0.15","0.05","10.0","1.0","10.0","0.5","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","3.0","1.0","3.0","0.15","0.05","6.0","0.0","0.0","0.3","0.0","1.0","14.0","14.0","0.05","0.7","3.0","3.0","9.0","0.15","0.15","1.0","9.0","9.0","0.05","0.45","1.0","15.0","15.0","0.05","0.75","3.0","1.0","3.0","0.15","0.05","2.0","1.0","2.0","0.1","0.05","1.0","1.0","1.0","0.05","0.05","3.0","1.0","3.0","0.15","0.05","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","3.0","1.0","3.0","0.15","0.05","3.0","3.0","9.0","0.15","0.15","2.0","1.0","2.0","0.1","0.05","3.0","3.0","9.0","0.15","0.15","3.0","1.0","3.0","0.15","0.05","10.0","1.0","10.0","0.5","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","3.0","1.0","3.0","0.15","0.05","6.0","0.0","0.0","0.3","0.0","1.0","14.0","14.0","0.05","0.7","3.0","3.0","9.0","0.15","0.15","1.0","9.0","9.0","0.05","0.45","1.0","15.0","15.0","0.05","0.75","3.0","1.0","3.0","0.15","0.05","2.0","1.0","2.0","0.1","0.05","1.0","1.0","1.0","0.05","0.05","3.0","1.0","3.0","0.15","0.05","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","11.0","1.0","11.0","0.5238095238095238","0.047619047619047616","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","6.0","0.0","0.0","0.2857142857142857","0.0","1.0","15.0","15.0","0.047619047619047616","0.7142857142857143","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","1.0","9.0","9.0","0.047619047619047616","0.42857142857142855","1.0","15.0","15.0","0.047619047619047616","0.7142857142857143","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","11.0","1.0","11.0","0.5238095238095238","0.047619047619047616","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","6.0","0.0","0.0","0.2857142857142857","0.0","1.0","15.0","15.0","0.047619047619047616","0.7142857142857143","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","1.0","9.0","9.0","0.047619047619047616","0.42857142857142855","1.0","15.0","15.0","0.047619047619047616","0.7142857142857143","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","12.0","1.0","12.0","0.5454545454545454","0.045454545454545456","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","6.0","0.0","0.0","0.2727272727272727","0.0","1.0","16.0","16.0","0.045454545454545456","0.7272727272727273","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","1.0","9.0","9.0","0.045454545454545456","0.4090909090909091","1.0","15.0","15.0","0.045454545454545456","0.6818181818181818","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","12.0","1.0","12.0","0.5454545454545454","0.045454545454545456","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","6.0","0.0","0.0","0.2727272727272727","0.0","1.0","16.0","16.0","0.045454545454545456","0.7272727272727273","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","1.0","9.0","9.0","0.045454545454545456","0.4090909090909091","1.0","15.0","15.0","0.045454545454545456","0.6818181818181818","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","12.0","1.0","12.0","0.5454545454545454","0.045454545454545456","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","6.0","0.0","0.0","0.2727272727272727","0.0","1.0","16.0","16.0","0.045454545454545456","0.7272727272727273","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","1.0","9.0","9.0","0.045454545454545456","0.4090909090909091","1.0","15.0","15.0","0.045454545454545456","0.6818181818181818","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","3.0","9.0","0.13043478260869565","0.13043478260869565","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","3.0","9.0","0.13043478260869565","0.13043478260869565","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","13.0","1.0","13.0","0.5652173913043478","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","6.0","0.0","0.0","0.2608695652173913","0.0","1.0","17.0","17.0","0.043478260869565216","0.7391304347826086","3.0","3.0","9.0","0.13043478260869565","0.13043478260869565","1.0","10.0","10.0","0.043478260869565216","0.43478260869565216","1.0","15.0","15.0","0.043478260869565216","0.6521739130434783","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","3.0","1.0","3.0","0.12","0.04","3.0","3.0","9.0","0.12","0.12","2.0","1.0","2.0","0.08","0.04","3.0","3.0","9.0","0.12","0.12","3.0","1.0","3.0","0.12","0.04","15.0","1.0","15.0","0.6","0.04","4.0","1.0","4.0","0.16","0.04","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","6.0","0.0","0.0","0.24","0.0","1.0","19.0","19.0","0.04","0.76","3.0","3.0","9.0","0.12","0.12","1.0","12.0","12.0","0.04","0.48","1.0","16.0","16.0","0.04","0.64","3.0","1.0","3.0","0.12","0.04","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","3.0","1.0","3.0","0.12","0.04","2.0","1.0","2.0","0.08","0.04","3.0","1.0","3.0","0.12","0.04","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","3.0","1.0","3.0","0.12","0.04"
