"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS"
"1","8.0","3.0","24.0","0.7272727272727273","0.2727272727272727","3.0","0.0","0.0","0.2727272727272727","0.0","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","8.0","0.0","0.0","0.7272727272727273","1.0","9.0","9.0","0.09090909090909091","0.8181818181818182","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","8.0","3.0","24.0","0.7272727272727273","0.2727272727272727","3.0","0.0","0.0","0.2727272727272727","0.0","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","8.0","0.0","0.0","0.7272727272727273","1.0","9.0","9.0","0.09090909090909091","0.8181818181818182","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","8.0","3.0","24.0","0.7272727272727273","0.2727272727272727","3.0","0.0","0.0","0.2727272727272727","0.0","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","8.0","0.0","0.0","0.7272727272727273","1.0","9.0","9.0","0.09090909090909091","0.8181818181818182","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","8.0","3.0","24.0","0.7272727272727273","0.2727272727272727","3.0","0.0","0.0","0.2727272727272727","0.0","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","8.0","0.0","0.0","0.7272727272727273","1.0","9.0","9.0","0.09090909090909091","0.8181818181818182","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","8.0","3.0","24.0","0.7272727272727273","0.2727272727272727","3.0","0.0","0.0","0.2727272727272727","0.0","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","8.0","0.0","0.0","0.7272727272727273","1.0","9.0","9.0","0.09090909090909091","0.8181818181818182","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","8.0","3.0","24.0","0.7272727272727273","0.2727272727272727","3.0","0.0","0.0","0.2727272727272727","0.0","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","8.0","0.0","0.0","0.7272727272727273","1.0","9.0","9.0","0.09090909090909091","0.8181818181818182","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","8.0","3.0","24.0","0.7272727272727273","0.2727272727272727","3.0","0.0","0.0","0.2727272727272727","0.0","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","8.0","0.0","0.0","0.7272727272727273","1.0","9.0","9.0","0.09090909090909091","0.8181818181818182","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","8.0","3.0","24.0","0.7272727272727273","0.2727272727272727","3.0","0.0","0.0","0.2727272727272727","0.0","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","8.0","0.0","0.0","0.7272727272727273","1.0","9.0","9.0","0.09090909090909091","0.8181818181818182","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","6.0","3.0","18.0","0.6666666666666666","0.3333333333333333","3.0","0.0","0.0","0.3333333333333333","0.0","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","6.0","0.0","0.0","0.6666666666666666","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","6.0","3.0","18.0","0.6666666666666666","0.3333333333333333","3.0","0.0","0.0","0.3333333333333333","0.0","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","6.0","0.0","0.0","0.6666666666666666","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
